k,lamda,gamma_u,gamma_v,gamma_b,test_rmse,time_seconds
10,0.9203757854208745,0.004451182332321298,0.026427997973245333,0.3209461427031195,0.8369199119837629,271.28762102127075
10,0.053563234610985944,0.3649157670909833,0.008716662600335299,0.17587466637193738,0.7892619032516562,266.11233472824097
10,0.3368345264721074,0.853103113340148,0.37294265675360083,0.814620022583598,0.7846306155480905,262.2093389034271
10,0.05354132811090578,0.00389075036012485,0.10272019259391887,0.19987367835579745,0.7910677046190873,264.91824412345886
10,0.0039488294831660714,0.4328682145574216,0.00850768052281924,0.0012726825969420596,0.7744526695381767,263.66559195518494
20,0.004100476008061752,0.30564569304556105,0.0978398211646199,0.60214526768583,0.8229914796913314,390.7619230747223
10,0.4151177867659561,0.1647996381405584,0.007203792401881596,0.0033352038569890896,0.7932387255940863,259.87216806411743
30,0.12425869744288422,0.013813844811346695,0.024619855901998073,0.016964954224072588,0.8283992795536478,534.1741437911987
30,0.015114626116536457,0.025989934809178758,0.07317218132150656,0.002974626082599533,0.8021089921172161,893.371395111084
20,0.800733987371341,0.12045583935808751,0.00505278923112756,0.0014870092228218832,0.8244711848627921,348.0920009613037
20,0.13877264055891841,0.0013792864511236783,0.2668030187627953,0.7923235932348819,0.8186827958627662,632.1544229984283
10,0.044505739442160276,0.30802349160147025,0.03749205640169545,0.005371455572588392,0.7808569756989782,263.42107009887695
10,0.5839674962372126,0.014032205674582856,0.004297065322114347,0.15621261489506605,0.8268033315246021,264.3009099960327
20,0.003474077363875751,0.005191441196670804,0.03690345636049123,0.004014396146869236,0.7828349991765192,527.2578020095825
10,0.14498312874627534,0.26586820666751804,0.7408392560572822,0.02648680942831603,0.7784993174268454,260.40276074409485
30,0.22291721081202298,0.48000316422975353,0.017156076865013425,0.03676682891387324,0.8302950702113195,706.460776090622
30,0.015143229927916934,0.027443859279535604,0.003018953351434785,0.599032759241668,0.829802810765455,896.5111968517303
30,0.0010445792882273416,0.002455044949268136,0.002720614741996068,0.7343621625492902,0.8077801509412927,778.5972030162811
20,0.7524635159269191,0.06009180124329195,0.015289506188877157,0.043418068945444754,0.8217227205070986,418.73518109321594
20,0.02039307537342147,0.8587551700375037,0.8034116286188123,0.00192377578961482,0.7703905072733855,533.511510848999
20,0.0025629102333312418,0.08558034660236195,0.2881592000653654,0.019925000147980647,0.7870116117709989,527.2213373184204
20,0.027072462585590967,0.09445578808299494,0.002760911394269892,0.05597549037876171,0.8109761215054395,533.4073958396912
10,0.025735104126879217,0.24114768549285634,0.00415756251434527,0.0013558757278383925,0.784648277868622,262.7179870605469
10,0.008064895030891469,0.005093403113551205,0.004588553903042781,0.0035536151349283276,0.7818860111240687,259.98565793037415
20,0.48192963574877673,0.713246624441529,0.013289109382761835,0.0024468629325055304,0.8093640687432725,519.5005340576172
30,0.03656631931056251,0.07521787301120353,0.009524548328899643,0.05499727957343235,0.827814817088111,588.8747432231903
20,0.01788622579747413,0.026117466495993266,0.010459004260096523,0.001192224281970156,0.7951330515442843,518.7496588230133
20,0.014007468988697477,0.0015314676917014126,0.0033395105874182446,0.14891215841554947,0.8138557833867014,518.6733310222626
10,0.06349156054774369,0.013650484303173227,0.0015253072065089745,0.1609483096745324,0.8015737475070615,258.5105700492859
10,0.0012784439527111428,0.0023995929705671487,0.8086487209426481,0.15070649437283853,0.8252194141489971,258.79878401756287
10,0.39191583395195323,0.030656866523825925,0.7432851464594037,0.019207656438693908,0.7838506456887465,257.9895520210266
10,0.41401080330404244,0.18375563039420745,0.2802536438418188,0.1134599197929629,0.7833225835208443,258.28731894493103
30,0.013933919214414477,0.05275729692302295,0.058767566987958486,0.5985510339323258,0.8056381960938488,886.4797730445862
30,0.08008165924634746,0.0011266563905184123,0.048847627344455045,0.002321154809728484,0.8405558156274036,592.0033719539642
10,0.15411807634765778,0.03483262732134432,0.00138983948436923,0.0020602725560226135,0.8005363939684671,257.33374071121216
30,0.010633270848354552,0.0074328058896908035,0.880156409928406,0.0026219509977295115,0.783502298153547,886.7819900512695
30,0.007798253965833017,0.0022110076565049377,0.06780273713076801,0.005346807110910102,0.8058625023758775,650.2342050075531
20,0.006033672966798901,0.0014886531984356689,0.44182243046368763,0.3037219821922209,0.7832972475252541,524.6487658023834
20,0.23157362259191533,0.32827023599849803,0.06279395959079453,0.3342712723924557,0.802184372185652,420.29305720329285
30,0.3470851454184864,0.36508573233628305,0.501967982126864,0.19645797589260747,0.8123915801397056,705.9387180805206
10,0.05278838112664461,0.16795925898482658,0.13450407499877137,0.025730571560032157,0.779184612300088,257.48504877090454
10,0.10410075849813262,0.003797753787007008,0.5135446100417898,0.004769130232306648,0.7842819253604936,255.76830220222473
30,0.3051411768208274,0.27326097423197426,0.015465121410173753,0.035866787220655866,0.8316979831290346,646.4070541858673
20,0.0011041358538150842,0.004261906659872777,0.20591416896821013,0.004708498109726371,0.773562038923088,521.9750471115112
10,0.005126625848442057,0.34424654961624174,0.03643639011789948,0.11380372253420022,0.7942787277068518,259.8089361190796
10,0.30666081075085666,0.0017448060573276953,0.0017696525712126837,0.03422536845458474,0.882136369974504,137.75575494766235
20,0.005979659098682757,0.001393084880325868,0.011143518203036254,0.002458581799794076,0.7923454001479747,453.2427680492401
20,0.0030677657794985092,0.0017051615761643944,0.27836054651554926,0.017253428583248766,0.7823284432510815,524.1768178939819
20,0.03937231406794495,0.002472605512581071,0.0016205780929902402,0.2460646514214367,0.8318445900978182,314.45228481292725
20,0.005946747468073616,0.005696443305836882,0.17766623720895192,0.04170378944487028,0.7843688153330622,522.4568800926208
